Key,Item.Type,Publication.Year,Author,Title,Publication.Title,ISBN,ISSN,DOI,Outcome(s),Effect Size Reported? (Y/N),Effect Size Type,Data for Calculation,,Notes,,,
NQJFEQLU,journalArticle,2023,"Park, Daniel S.; Lyra, Goia M.; Ellison, Aaron M.; Maruyama, Rogerio Katsuhito Barbosa; Torquato, Debora dos Reis; Asprino, Renata C.; Cook, Benjamin I.; Davis, Charles C.",A Mechanistic Framework for Understanding the Effects of Climate Change on the Link Between Flowering and Fruiting Phenology,JOURNAL OF ECOLOGY,,0022-0477,10.1111/1365-2745.14047,,,,,,No actual data,,,
QAKG5QXW,journalArticle,1995,"LECHOWICZ, MJ",An ecological transcriptome approach to capture the molecular and physiological mechanisms of mass flowering in<i> Shorea</i> <i>curtisii</i>,CANADIAN JOURNAL OF BOTANY-REVUE CANADIENNE DE BOTANIQUE,,0008-4026,10.1139/b95-021,,,,,,Didn’t actually look at phenology,,,
R72GXVR3,journalArticle,2017,"Chen, Xiaoqiu; Wang, Lingxiao; Inouye, David",Assessing the effects of a drought experiment on the reproductive phenology and ecophysiology of a wet tropical rainforest community,AGRICULTURAL AND FOREST METEOROLOGY,,0168-1923,10.1016/j.agrformet.2017.01.002,,,,,,Not quite right data ,,,
542FBCFT,journalArticle,1998,"Corlett, RT; LaFrankie, JV",Cascading effects of climate extremes on vertebrate fauna through changes to low-latitude tree flowering and fruiting phenology,CLIMATIC CHANGE,,0165-0009,10.1023/A:1005328124567,,,,,,No actual data,,,
VDSHDIFY,journalArticle,2023,"Vogado, Nara; Laurance, Susan G.; Liddell, Michael J.; Engert, Jayden E.; Wurster, Christopher M.; Schiffer, Michele; Thompson, Andrew; Nichols, Cassandra; Cernusak, Lucas A.",Chilling and heat requirements for flowering in temperate fruit trees,CONSERVATION PHYSIOLOGY,,2051-1434,10.1093/conphys/coad064,,,,,,,,,
A59ZE83E,journalArticle,2019,"Du, Yanjun; Pan, Yuanqi; Ma, Keping",Climate Change Affects Reproductive Phenology in Lianas of Australia's Wet Tropics,Amou,,0168-1923,10.1016/j.agrformet.2019.107693,,,,,,Amount of flowering not timing,,,
,journalArticle,2021,"Sandor, Manette E.; Aslan, Clare E.; Pejchar, Liba; Bronstein, Judith L.",Delayed response of spring phenology to global warming in subtropics and tropics,FRONTIERS IN ECOLOGY AND EVOLUTION,,2296-701X,10.3389/fevo.2021.752110,,,,,,Looked at what triggered flowering ,,,
9BW35VM4,journalArticle,2020,"Ouedraogo, Dakis-Yaoba; Hardy, Olivier J.; Doucet, Jean-Louis; Janssens, Steven B.; Wieringa, Jan J.; Stoffelen, Piet; Angoboy Ilondea, Bhely; Baya, Fidele; Beeckman, Hans; Dainou, Kasso; Dubiez, Emilien; Gourlet-Fleury, Sylvie; Fayolle, Adeline",Development of Peach Flower Buds under Low Winter Chilling Conditions,JOURNAL OF TROPICAL ECOLOGY,,0266-4674,10.1017/S0266467420000103,,,,,,,,,
7FYWX8LX,journalArticle,2013,"Couralet, C.; Van den Bulcke, J.; Ngoma, L. M.; Van Acker, J.; Beeckman, H.",Differences on flowering phenology under Mediterranean and Subtropical environments for two representative olive cultivars,JOURNAL OF TROPICAL FOREST SCIENCE,,0128-1283,,,,,,,,,,
QFCJJSKJ,journalArticle,2022,"Vogado, Nara O.; Engert, Jayden E.; Linde, Tore L.; Campbell, Mason J.; Laurance, William F.; Liddell, Michael J.",Differential resilience to extreme climate events of tree phenology and cavity resources in tropical dry forest: Cascading effects on a threatened species,FRONTIERS IN FORESTS AND GLOBAL CHANGE,,,10.3389/ffgc.2022.787950,,,,,,,,,
G379987X,journalArticle,2021,"Ramaswami, Geetha; Sidhu, Swati; Quader, Suhel",Diversity of flowering and fruiting phenology of trees in a tropical deciduous forest in India,CURRENT SCIENCE,,0011-3891,10.18520/cs/v121/i11/1409-1416,,,,,,,,,
XGHAWQHU,journalArticle,2017,"Bajpai, Omesh; Pandey, Jitendra; Chaudhary, L. B.",Effects of partial throughfall exclusion on the phenology of <i>Coussarea racemosa</i> (Rubiaceae) in an east-central Amazon rainforest,AGROFORESTRY SYSTEMS,,0167-4366,10.1007/s10457-016-9936-9,,,,,,,,,
8YKEMUVH,journalArticle,2015,"Sheldon, Kimberly S.; Nadkarni, Nalini M.",Effects of winter chilling and photoperiod on leaf-out and flowering in a subtropical evergreen broadleaved forest in China,REVISTA DE BIOLOGIA TROPICAL,,0034-7744,10.15517/rbt.v63i4.16583,,,,,,,,,
9ZXAEE76,journalArticle,2020,"Song, Zhuqiu; Song, Xiqiang; Pan, Yuanqi; Dai, Kui; Shou, Jiajun; Chen, Qin; Huang, Jiaxin; Tang, Xinran; Huang, Zhongliang; Du, Yanjun",Examining spring phenological responses to temperature variations during different periods in subtropical and tropical China,FOREST ECOLOGY AND MANAGEMENT,,0378-1127,10.1016/j.foreco.2019.117766,,,,,,,,,
USQ7QB5V,journalArticle,2018,"Wilson, Nicholas C.; Saintilan, Neil",Flowering and fruiting patterns of woody species in the tropical montane evergreen forest of southern India,AQUATIC BOTANY,,0304-3770,10.1016/j.aquabot.2018.07.009,,,,,,,,,
ATBZNT7J,journalArticle,2021,"Lima, Duane F.; Mello, Jose H. F.; Lopes, Isadora T.; Forzza, Rafaela C.; Goldenberg, Renato; Freitas, Leandro",Flowering and fruiting phenology in maquis of New Caledonia,PLOS ONE,,1932-6203,10.1371/journal.pone.0251360,,,,,,,,,
9FIAR2XC,journalArticle,2015,"Butt, Nathalie; Seabrook, Leonie; Maron, Martine; Law, Bradley S.; Dawson, Terence P.; Syktus, Jozef; Mcalpine, Clive A.",Flowering patterns in a seasonal tropical lowland forest in western Amazonia,GLOBAL CHANGE BIOLOGY,,1354-1013,10.1111/gcb.12869,,,,,,,,,
VU58ZYQ2,journalArticle,2020,"Du, Yanjun; Li, Danfeng; Yang, Xiaobo; Peng, Danxiao; Tang, Xinran; Liu, Hui; Li, Donghai; Hong, Xiaojiang; Song, Xiqiang",Herbarium records provide reliable phenology estimates in the understudied tropics,GLOBAL ECOLOGY AND CONSERVATION,,,10.1016/j.gecco.2020.e01317,,,,,,,,,
KG4569ZM,journalArticle,2017,"Haselhorst, Derek S.; Tcheng, David K.; Moreno, J. Enrique; Punyasena, Surangi W.",How do meteorological factors alter the phenology of a neotropical tree species?,ECOLOGICAL INFORMATICS,,1574-9541,10.1016/j.ecoinf.2017.06.005,,,,,,,,,
34HHERDD,journalArticle,2019,"Hogan, J. Aaron; Nytch, Christopher J.; Bithorn, John E.; Zimmerman, Jess",Influence of tree water potential in inducing flowering in <i>Rhododendron arboreum</i> in the central Himalayan region,AMERICAN JOURNAL OF BOTANY,,0002-9122,10.1002/ajb2.1380,,,,,,,,,
7CBNENXW,journalArticle,2016,"Winarni, Nurul L.; Kurniasari, Dewi R.; Hartiningtias, Diny; Nusalawo, Meyner; Sakuntaladewi, Niken",Interannual variation in the phenology of a tree community in a semideciduous seasonal forest in southeast Brazil,INDONESIAN JOURNAL OF FORESTRY RESEARCH,,2355-7079,10.20886/ijfr.2016.3.2.129-141,,,,,,,,,
6JDJNXZP,journalArticle,2013,"Zhao, Junbin; Zhang, Yiping; Song, Fuqiang; Xu, Zaifu; Xiao, Laiyun",Interplay of environmental cues and wood density in the vegetative and reproductive phenology of seasonally dry tropical forest trees,JOURNAL OF TROPICAL ECOLOGY,,0266-4674,10.1017/S0266467413000114,,,,,,,,,
IWDF4TXP,journalArticle,2008,"Derroire, Geraldine; Lagrange, Alexandre; Tassin, Jacques",Latitudinal shift in the timing of flowering of tree species across tropical Africa: insights from field observations and herbarium collections,ACTA BOTANICA GALLICA,,1253-8078,10.1080/12538078.2008.10516108,,,,,,,,,
PUM3ATLR,journalArticle,2018,"Pau, Stephanie; Okamoto, Daniel K.; Calderon, Osvaldo; Wright, S. Joseph",Long-term increases in tropical flowering activity across growth forms in response to rising CO<sub>2</sub> and climate change,GLOBAL CHANGE BIOLOGY,,1354-1013,10.1111/gcb.14004,,,,,,,,,
NBGGTUQJ,journalArticle,2016,"Mohandass, D.; Hughes, Alice C.; Davidar, Priya","Mast fruiting of large ectomycorrhizal African rain forest trees: importance of dry season intensity, and the resource-limitation hypothesis",CURRENT SCIENCE,,0011-3891,10.18520/cs/v111/i2/404-416,,,,,,,,,
NFWG8ZQU,journalArticle,2018,"Chapman, Colin A.; Valenta, Kim; Bonnell, Tyler R.; Brown, Kevin A.; Chapman, Lauren J.",Moderate chilling requirement controls budburst for subtropical species in China,BIOTROPICA,,0006-3606,10.1111/btp.12559,,,,,,,,,
VGW55GT9,journalArticle,2006,"Singh, KP; Kushwaha, CP",Periodicity of different phenophases in selected trees from Himalayan Terai of India,ANNALS OF BOTANY,,0305-7364,10.1093/aob/mcj028,,,,,,,,,
ABWEXQ2F,journalArticle,2012,"Grogan, James; Schulze, Mark","PHENOLOGICAL PATTERNS IN A NATURAL POPULATION OF A TROPICAL TIMBER TREE SPECIES, <i>MILICIA EXCELSA</i> (MORACEAE): EVIDENCE OF ISOLATION BY TIME AND ITS INTERACTION WITH FEEDING STRATEGIES OF DISPERSERS",BIOTROPICA,,0006-3606,10.1111/j.1744-7429.2011.00825.x,,,,,,,,,
GK83YGUJ,journalArticle,2006,"Newbery, DM; Chuyong, GB; Zimmermann, L","Phenological response of tropical plants to regional climate change in Xishuangbanna, south-western China",NEW PHYTOLOGIST,,0028-646X,10.1111/j.1469-8137.2006.01691.x,,,,,,,,,
SHC7HNSQ,journalArticle,2010,"Rubim, Paulo; Nascimento, Henrique E. M.; Morellato, Leonor Patricia C.",Phenological responses to climate change based on a hundred years of herbarium collections of tropical Melastomataceae,ACTA BOTANICA BRASILICA,,0102-3306,10.1590/S0102-33062010000300019,,,,,,,,,
CLB9WS3S,journalArticle,2014,"Guo, Liang; Dai, Junhu; Ranjitkar, Sailesh; Yu, Haiying; Xu, Jianchu; Luedeling, Eike",PHENOLOGY IN FUNCTIONAL GROUPS OF CENTRAL AFRICAN RAINFOREST TREES,INTERNATIONAL JOURNAL OF BIOMETEOROLOGY,,0020-7128,10.1007/s00484-013-0714-3,,,,,,,,,
RYV9NTBP,journalArticle,2016,"Tewari, Ashish; Bhatt, Jitendra; Mittal, Amit","PHENOLOGY OF Dalbergia cearensis DUCKE (FABACEAE) IN A SHERED OF SEASONAL FOREST IN THE NORTHEAST SEMIARID, BRAZIL",IFOREST-BIOGEOSCIENCES AND FORESTRY,,1971-7458,10.3832/ifor1525-008,,,,,,,,,
QNUR6RI8,journalArticle,2019,"Perina, Bianca Buck; Liboni, Ana Paula; Montanher, Daniel Rodrigo; Messetti, Ana Verginia L.; Pimenta, Jose Antonio; Bianchini, Edmilson",Phenology of the tree community in a seasonal forest in southern Brazil,BRAZILIAN JOURNAL OF BOTANY,,0100-8404,10.1007/s40415-019-00545-y,,,,,,,,,
HSB57JRT,journalArticle,2020,"Medina-Alonso, Maria G.; Navas, Jose F.; Cabezas, Jose M.; Weiland, Carlos M.; Rios-Mesa, Domingo; Lorite, Ignacio J.; Leon, Lorenzo; de la Rosa, Raul","PHENOLOGY, CLIMATE, AND ADAPTATION: HOW DOES DIPTEROCARPS RESPOND TO CLIMATE?",ENVIRONMENTAL AND EXPERIMENTAL BOTANY,,0098-8472,10.1016/j.envexpbot.2020.104239,,,,,,,,,
U4Q6UZJP,journalArticle,2020,"Penso, Gener A.; Citadin, Idemir; Scariotto, Silvia; Magalhaes dos Santos, Carlos E.; Junior, Americo W.; Bruckner, Claudio H.; Rodrigo, Javier","Phenology, productive efficiency and fruit quality of orange cultivars in the dry tropics of Mexico",AGRONOMY-BASEL,,,10.3390/agronomy10030428,,,,,,,,,
2JHRYHGI,journalArticle,2019,"Fava, Wellington Santos; Leme da Cunha, Nicolay; Lorenz, Aline Pedroso",Potential impacts of climate change on tropical Asian forests through an influence on phenology,FLORA,,0367-2530,10.1016/j.flora.2019.03.020,,,,,,,,,
RSXVTF6X,journalArticle,2018,"Renton, Katherine; Salinas-Melgoza, Alejandro; Rueda-Hernandez, Rafael; Vazquez-Reyes, Leopoldo D.",Proposing the solar-wind energy flux hypothesis as a driver of inter-annual variation in tropical tree reproductive effort,FOREST ECOLOGY AND MANAGEMENT,,0378-1127,10.1016/j.foreco.2017.10.012,,,,,,,,,
3GT577JR,journalArticle,2018,"Babweteera, Fred; Plumptre, Andrew J.; Adamescu, Gabriela S.; Shoo, Luke P.; Beale, Colin M.; Reynolds, Vernon; Nyeko, Philip; Muhanguzi, Geoffrey",Reproduction of the mangrove species <i>Rhizophora stylosa</i> Gruff. at its southern latitudinal limit,BIOTROPICA,,0006-3606,10.1111/btp.12563,,,,,,,,,
5SZAZUA8,bookSection,2015,"Valdez-Hernandez, Mirna",Reproductive phenology and its drivers in a tropical rainforest national park in China: Implications for Hainan gibbon (<i>Nomascus hainanus</i>) conservation,BIODIVERSITY AND CONSERVATION OF THE YUCATAN PENINSULA,978-3-319-06529-8 978-3-319-06528-1,,,,,,,,,,,
DISXWS2D,journalArticle,2008,"Stevenson, Pablo R.; Castellanos, Maria Clara; Cortes, Ana Isabel; Link, Andres",Reproductive phenology of <i>Leptolobium dasycarpum</i> and <i>L. elegans</i> across the Brazilian savanna based on herbarium records,BIOTROPICA,,0006-3606,10.1111/j.1744-7429.2008.00417.x,,,,,,,,,
BQ86S2ST,journalArticle,2016,"Lasky, Jesse R.; Uriarte, Maria; Muscarella, Robert","Reproductive phenology of epiphytes in Monteverde, Costa Rica",ENVIRONMENTAL RESEARCH LETTERS,,1748-9326,10.1088/1748-9326/11/11/115003,,,,,,,,,
ZLYJ2H9H,journalArticle,2006,"Brando, Paulo; Ray, David; Nepstad, Daniel; Cardinot, Gina; Curran, Lisa M.; Oliveira, Rafael",SEASONALITY OF FLOWERING AND FRUITING IN TEMPERATE FOREST TREES,OECOLOGIA,,0029-8549,10.1007/s00442-006-0507-z,,,,,,,,,
QYCL6PUR,journalArticle,2018,"Chen, Yu-Yun; Satake, Akiko; Sun, I-Fang; Kosugi, Yoshiko; Tani, Makoto; Numata, Shinya; Hubbell, Stephen P.; Fletcher, Christine; Supardi, Md Noor Nur; Wright, S. Joseph","Solar radiation and ENSO predict fruiting phenology patterns in a 15-year record from Kibale National Park, Uganda",JOURNAL OF ECOLOGY,,0022-0477,10.1111/1365-2745.12836,,,,,,,,,
MFYELYHL,journalArticle,2013,"Barboza Nogueira, Francisco Carlos; de Sousa Pacheco Filho, Alipio Jose; Gallao, Maria Izabel; Esmeraldo Bezerra, Antonio Marcos; Medeiros Filho, Sebastiao","Species-specific flowering cues among general flowering <i>Shorea</i> species at the Pasoh Research Forest, Malaysia",REVISTA ARVORE,,0100-6762,10.1590/S0100-67622013000400009,,,,,,,,,
CRZFCFD8,journalArticle,2007,"Medina Urrutia, Victor Manuel; Zapiain Esparza, Gilberto; Robles Gonzalez, Marciano Manuel; Perez Zamora, Octavio; Orozco Santos, Mario; Williams, Timothy; Becerra Rodriguez, Salvador","Synchrony, compensatory dynamics, and the functional trait basis of phenological diversity in a tropical dry forest tree community: effects of rainfall seasonality",REVISTA FITOTECNIA MEXICANA,,0187-7380,,,,,,,,,,
ANVDMYGF,journalArticle,2022,"Luna-Nieves, Adriana L.; Gonzalez, Edgar J.; Cortes-Flores, Jorge; Ibarra-Manriquez, Guillermo; Maldonado-Romo, Axel; Meave, Jorge A.",The ecology of tree reproduction in an African medium altitude rain forest,BIOTROPICA,,0006-3606,10.1111/btp.13072,,,,,,,,,
AX6L432B,journalArticle,2012,"Dainou, Kasso; Laurenty, Eric; Mahy, Gregory; Hardy, Olivier J.; Brostaux, Yves; Tagg, Nikki; Doucet, Jean-Louis",The effects of seasonal and long-term climatic variability on Neotropical flowering phenology: An ecoinformatic analysis of aerial pollen data,AMERICAN JOURNAL OF BOTANY,,0002-9122,10.3732/ajb.1200147,,,,,,,,,
RMMEZTH4,journalArticle,2021,"Qian, Siwei; Chen, Xiaoqiu; Lang, Weiguang; Schwartz, Mark D.","The Impact of Annual and Seasonal Rainfall Patterns on Growth and Phenology of Emergent Tree Species in Southeastern Amazonia, Brazil",INTERNATIONAL JOURNAL OF CLIMATOLOGY,,0899-8418,10.1002/joc.6918,,,,,,,,,
RYZJKBCB,journalArticle,2022,"da Costa, Thalles Luiz Negreiros; Lucas, Fernanda Moura Fonseca; da Silva, Bruna Rafaella Ferreira; das Chagas, Kyvia Pontes Teixeira; Monteiro Freire, Ageu da Silva; Ucella-Filho, Joao Gilberto Meza; Santana, Jose Augusto da Silva; Costa, Malcon do Prado",Towards effective monitoring of tropical phenology: maximizing returns and reducing uncertainty in long-term studies,CERNE,,0104-7760,10.1590/01047760202228013098,,,,,,,,,
TGB89BG2,journalArticle,2011,"Kushwaha, C. P.; Tripathi, S. K.; Singh, K. P.",Tree specific traits affect flowering time in Indian dry tropical forest,PLANT ECOLOGY,,1385-0237,10.1007/s11258-010-9879-6,,,,,,,,,
EHQ2HF2Q,journalArticle,2018,"Bush, Emma R.; Bunnefeld, Nils; Dimoto, Edmond; Dikangadissi, Jean-Thoussaint; Jeffery, Kathryn; Tutin, Caroline; White, Lee; Abernethy, Katharine A.",Using citizen science to build baseline data on tropical tree phenology,BIOTROPICA,,0006-3606,10.1111/btp.12543,,,,,,,,,
C7JP4NMN,journalArticle,2016,"Nath, Shikhasmita; Nath, Arun Jyoti; Das, Ashesh Kumar",Vegetative and reproductive phenology of a floodplain tree species <i>Barringtonia acutangula</i> from North East India,JOURNAL OF ENVIRONMENTAL BIOLOGY,,0254-8704,,,,,,,,,,
97US79XC,journalArticle,2023,"Suhaimi, Ahmad Husaini; Kobayashi, Masaki J.; Satake, Akiko; Ng, Ching Ching; Lee, Soon Leong; Muhammad, Norwati; Numata, Shinya; Otani, Tatsuya; Kondo, Toshiaki; Tani, Naoki; Yeoh, Suat Hui",Vegetative and Reproductive Plant Phenology,PEERJ,,2167-8359,10.7717/peerj.16368,,,,,,,,,
,,,,,,,,,,,,,,,,,